Column or Variable Name,Cluster 0,Cluster 1,Cluster 2
Skewness_I think of myself as an environmentally friendly consumer - To what extent do you agree with the following statements?,-0.7341989545846056,-0.8098513482362755,-0.5588439658637142
Skewness_I think of myself as someone who is very concerned with environmental issues - To what extent do you agree with the following statements?,-0.5612534370007292,-0.6413003772408955,-0.38304576871866536
Skewness_Acting environmentally-friendly is an important part of who I am - To what extent do you agree with the following statements?,-0.6046952617540676,-0.6593046031640243,-0.41994650064825406
Skewness_I am the type of person who acts environmentally-friendly - To what extent do you agree with the following statements?,-0.710967025401388,-0.7478495333079026,-0.6102342060580498
"Skewness_I do not know what the energy transition is - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",0.3832407170479612,0.43025335545582505,0.4102864069670244
"Skewness_I think the energy transition is wrong and I do not want to participate in it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",0.3857696950905038,0.4817287888747513,0.28982887636131127
"Skewness_I think the energy transition is a good thing. However, I think myself can contribute little to it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",-0.2674165332325744,-0.2982722699620437,-0.3188563125179827
"Skewness_The energy transition is a joint task in which everyone in society, including me, should make a contribution - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",-0.47452959574323955,-0.5555634784645197,-0.38953403384133456
Skewness_EU parliament / European Commission - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,-0.0735546780569049,-0.18211699115522792,-0.0742412326775155
"Skewness_National politicians (members of parliament, ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",0.16108025730219647,0.09007708064929922,0.1517453759544605
"Skewness_Regional politicians (members of the state parliament, state ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",0.09062509484083697,0.05693518779173111,0.14967812511200226
"Skewness_Local politicians (members of city council, mayors, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",-0.004250505224138603,-0.009520525623496713,0.05840027774616866
Skewness_National government agencies - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,0.14576292808361657,0.07405297918173873,0.1343973807102606
Skewness_Judiciary / legal system - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,-0.012968561233289128,-0.029842949787426284,0.15347957018924463
Skewness_Scientists - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,-0.6528509913538627,-0.8412000302591369,-0.5115238385755897
Skewness_Industry - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,0.14764350263997356,0.052729958269434586,0.26373605635436653
"Skewness_Public media (TV, radio, newspapers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",0.23018043932403517,0.1552505498874353,0.12549999953862906
Skewness_Private households / citizens - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,-0.057776016234589,-0.10104463052478303,0.06015761705960278
Skewness_Energy providers - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,0.27304168174811705,0.18975484764295297,0.32923548634398747
Skewness_Unplug electronic devices that are not being used - How often do you perform the following activities?,-0.8189201995240801,-0.8714983454909608,-0.7561325711348557
Skewness_Actively search for products that are more energy efficient - How often do you perform the following activities?,-0.7981465534847678,-0.8446516993592064,-0.8505406807458463
Skewness_Turn off all lights before leaving a room - How often do you perform the following activities?,-2.016526783527225,-2.128788630401503,-1.9043681248331554
Skewness_Encourage friends or family to be more energy efficient - How often do you perform the following activities?,-0.6459765983393352,-0.7204608834569655,-0.46311821074294224
Skewness_Consciously participate in carpooling - How often do you perform the following activities?,0.22706116950660718,0.2095132838952821,0.21625322479124007
"Skewness_Consciously choose to travel without a car (e.g., walk, bike, public transport, etc.) - How often do you perform the following activities?",-0.4908382762466207,-0.5281915887655189,-0.4843183097308005
Skewness_Facebook - Please select the option that best describes your use of social media channels and energy information.,0.08946902752634575,0.11172081687088921,0.1322995104298405
Skewness_Instagram - Please select the option that best describes your use of social media channels and energy information.,0.5718497475326244,0.5972522806876718,0.5185997524441072
Skewness_Twitter - Please select the option that best describes your use of social media channels and energy information.,1.1007259265929503,1.1241688244842887,1.0923880396012242
Skewness_YouTube - Please select the option that best describes your use of social media channels and energy information.,0.13428395516798214,0.1418860745929689,0.12931602842975237
Skewness_TikTok - Please select the option that best describes your use of social media channels and energy information.,1.3629859093367738,1.3792859515038072,1.2318919206799055
