Column or Variable Name,Cluster 0,Cluster 1,Cluster 2
I think of myself as an environmentally friendly consumer - To what extent do you agree with the following statements?,1.4135982235489053,0.9908332781475409,1.728945983315742
I think of myself as someone who is very concerned with environmental issues - To what extent do you agree with the following statements?,1.420030302602707,1.0680471938499148,1.7506057783141502
Acting environmentally-friendly is an important part of who I am - To what extent do you agree with the following statements?,1.4372968988245927,1.0614985115052302,1.7379500800344128
I am the type of person who acts environmentally-friendly - To what extent do you agree with the following statements?,1.3351059156353409,0.9740022913692097,1.6672743492529334
"I do not know what the energy transition is - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",1.785190976381476,1.9649445633700122,1.8131922597196577
"I think the energy transition is wrong and I do not want to participate in it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",1.455123810931626,1.613685157976613,1.667001648708157
"I think the energy transition is a good thing. However, I think myself can contribute little to it - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",1.279176296471922,1.5618323947654622,1.5102351676136458
"The energy transition is a joint task in which everyone in society, including me, should make a contribution - When you think of your personal contribution to the energy transition, to what extent do you agree with the following statements?",1.3161620543915724,1.2649652797165203,1.6300799914005752
EU parliament / European Commission - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.1581864455050281,1.240745469604826,1.1576717279023723
"National politicians (members of parliament, ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",1.0191695884694645,1.16950368293309,1.0472518287031254
"Regional politicians (members of the state parliament, state ministers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",1.1056969234639158,1.2188882835356032,1.0826549170169397
"Local politicians (members of city council, mayors, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",1.1858148447076724,1.2690211441096364,1.1350022920480654
National government agencies - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.172763493118015,1.2865899355820787,1.1384755835825169
Judiciary / legal system - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.2736332524198632,1.3415458935164246,1.2512307834358731
Scientists - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.4532766668460553,1.1311911761625244,1.4477996190790274
Industry - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.2581606720605296,1.3487766278666482,1.2344155454990697
"Public media (TV, radio, newspapers, etc.) - In how far do you trust the following groups and institutions regarding decisions on the energy transition?",1.1344744992974538,1.276480949637894,1.1699611176172473
Private households / citizens - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.391589781128028,1.4340294090424255,1.3328348495879097
Energy providers - In how far do you trust the following groups and institutions regarding decisions on the energy transition?,1.1437880309021935,1.2737950236767972,1.115647093197916
Unplug electronic devices that are not being used - How often do you perform the following activities?,1.2438883688693518,1.0071506916833415,1.859168175949665
Actively search for products that are more energy efficient - How often do you perform the following activities?,1.1208417882012534,0.868233059236368,1.7443507328359729
Turn off all lights before leaving a room - How often do you perform the following activities?,1.116795374229896,0.5854296755822544,2.0040231923484875
Encourage friends or family to be more energy efficient - How often do you perform the following activities?,1.3100107878931921,1.0882828731832226,1.7399311556296078
Consciously participate in carpooling - How often do you perform the following activities?,1.3385247212869587,1.510438878121359,1.503020528219577
"Consciously choose to travel without a car (e.g., walk, bike, public transport, etc.) - How often do you perform the following activities?",1.3311335053725308,1.2003106928858016,1.7720502288029625
Facebook - Please select the option that best describes your use of social media channels and energy information.,0.6610351721567638,0.6359716656629275,0.7067559979302063
Instagram - Please select the option that best describes your use of social media channels and energy information.,0.6638946051441804,0.6359861180643329,0.6690679880656082
Twitter - Please select the option that best describes your use of social media channels and energy information.,0.6509226466835869,0.6478704371039292,0.6380591261124323
YouTube - Please select the option that best describes your use of social media channels and energy information.,0.653444272758385,0.6666953984041065,0.6880251815209807
TikTok - Please select the option that best describes your use of social media channels and energy information.,0.6309256930075019,0.5628439550370021,0.6275437871514062
LinkedIn - Please select the option that best describes your use of social media channels and energy information.,0.6261936340237162,0.614719407247598,0.6108171631125205
"Understanding my monthly electricity consumption - How complex do you find (1 = not very complex, 7 = extremely complex)...",2.0108948037117336,2.1907907090325587,2.5548537661542
"Understanding my monthly heating and/or cooling consumption - How complex do you find (1 = not very complex, 7 = extremely complex)...",2.00715598618022,2.2113089737464295,2.5692535650484807
"Knowing how much I spend in energy - How complex do you find (1 = not very complex, 7 = extremely complex)...",1.9785031905067667,2.1795270366774933,2.517379371323409
"Knowing the share of renewable energy and fossil fuel-based energy that I consume - How complex do you find (1 = not very complex, 7 = extremely complex)...",2.263481683083012,2.385132507034137,2.661680226201544
"Implementing green energy solutions, such as PV panels and air-source or ground-source heat pumps, at home - How complex do you find (1 = not very complex, 7 = extremely complex)...",2.270484592753101,2.410778503770084,2.6893936763540296
Energy efficiency and conservation isn’t that important to me - Please indicate the degree to which you disagree or agree with the following statements.,1.7341411898159345,1.9752444761433632,2.4942953068956717
I’m too busy to be concerned with my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,1.6473667293086565,1.8623058970713093,2.192118738349015
It would be too much of an inconvenience to my lifestyle to reduce my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,1.6077796054965032,1.8608843538149433,2.275704782865005
"When home, I take actions to conserve energy - Please indicate the degree to which you disagree or agree with the following statements.",1.5768299732641382,1.4056601881808217,2.684670723812182
There is very little I can do personally to conserve energy in my home - Please indicate the degree to which you disagree or agree with the following statements.,1.5925912335237344,1.988266395386506,2.5419279744916796
My efforts to conserve energy will have a positive impact on the environment - Please indicate the degree to which you disagree or agree with the following statements.,1.5997962532051024,1.4594422043816917,2.1110600131974953
I am not willing to conserve energy at home if that comes at any cost to my comfort - Please indicate the degree to which you disagree or agree with the following statements.,1.653258660971929,1.8395099246239164,2.4598772926492942
Energy conservation and efficiency are very common topics of conversation among my family and friends - Please indicate the degree to which you disagree or agree with the following statements.,1.6996788557817244,1.7402458411820547,1.9788106948623614
Energy efficiency is vital to my country’s economy  - Please indicate the degree to which you disagree or agree with the following statements.,1.6232095078047515,1.3913114535569795,2.127364109475207
I have a moral obligation to reduce my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,1.674784292000664,1.3878421073381884,2.041960705848443
I am willing to compromise with those whose views on energy are very different from mine - Please indicate the degree to which you disagree or agree with the following statements.,1.6672795393036595,1.8157436925456722,2.012399446946471
"Reducing my energy consumption will have a strong, positive impact on my personal finances - Please indicate the degree to which you disagree or agree with the following statements.",1.6134232818055712,1.5306095068132217,2.3138519368486006
"We need to develop more ways of producing renewable energy, even if that means energy will cost more - Please indicate the degree to which you disagree or agree with the following statements.",1.8213112941658869,1.6535380331644838,1.8640106998037576
The government has a strong role to play in our nation’s energy efficiency and conservation policies - Please indicate the degree to which you disagree or agree with the following statements.,1.7063515879732258,1.146009311900656,2.080135490495472
Climate change is a vital issue that must be addressed - Please indicate the degree to which you disagree or agree with the following statements.,1.7057211490603188,1.0411862012864173,2.138962870007575
I frequently stay up-to-date on local and national energy issues - Please indicate the degree to which you disagree or agree with the following statements.,1.65118145290869,1.4278146672772245,1.7368306201600423
I believe I have a voice in helping to impact energy policies - Please indicate the degree to which you disagree or agree with the following statements.,1.7621427974079662,1.9073905065230483,1.5253193051938385
Clean energy is more important than reliable and affordable energy - Please indicate the degree to which you disagree or agree with the following statements.,1.7235955702611987,1.6462744645235852,1.6622638308238444
My country needs to invest more money and effort into becoming energy independent as soon as possible - Please indicate the degree to which you disagree or agree with the following statements.,1.728371382614462,1.1621060153711293,2.0129949505949023
Becoming an energy independent country is vital to our economic success and national security - Please indicate the degree to which you disagree or agree with the following statements.,1.7357681018161248,1.118063293094011,2.0416749400820984
"The EU should be focused on leveraging all energy sources (oil, gas, coal, and renewables) - Please indicate the degree to which you disagree or agree with the following statements.",1.7864461306547843,1.8979795543015834,2.412611882087639
Lower income people should not bear the cost of the energy transition - Please indicate the degree to which you disagree or agree with the following statements.,1.8463133158540936,1.8241031930136586,2.641770410164445
